cycle,staked_tez,rewarded_tez,user,baker
864,4534.288956,1.087964,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
865,4535.709803,1.297205,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
866,4536.716293,1.548590,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
867,4537.717846,1.453300,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
868,4539.028201,1.358214,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
869,4540.597240,1.538415,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
870,4542.058514,1.374419,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
871,4543.392064,1.106100,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
872,4544.901240,1.432224,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
873,4546.222000,1.260922,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
874,4547.218591,1.483495,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
875,4548.480048,1.853341,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
876,4549.663776,1.425268,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
877,4551.169508,1.191059,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
878,4553.039751,1.500111,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
879,4554.467733,1.262534,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
880,4555.654607,1.260391,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
881,4557.156164,1.262812,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
882,4558.428408,0.945843,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
883,4559.701616,1.422451,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
884,4560.977117,1.262865,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
885,4561.922011,1.184995,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
886,4563.342728,1.184290,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
887,4564.603699,1.491904,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
888,4565.800111,1.346464,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
889,4566.999545,0.936343,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
890,4568.510285,1.398355,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
891,4569.855836,1.409087,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
892,4570.792091,1.252041,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
893,4572.190095,1.241775,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
894,4573.612965,0.840789,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
895,4574.880102,1.328310,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
896,4576.135059,0.852379,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
897,4576.962225,1.084230,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
898,4578.260095,1.078708,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
899,4579.090651,1.079915,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
900,4580.158120,1.313638,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
901,4581.235825,0.691074,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
902,4582.314982,1.235896,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
903,4583.626809,1.078774,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
904,4584.316789,1.311049,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
905,4585.551282,1.074553,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
906,4586.630137,1.229615,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
907,4587.941291,1.446762,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
908,4589.030847,1.539208,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
909,4590.282014,1.206377,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
910,4591.753575,1.286618,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
911,4593.291817,1.378317,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
912,4594.502321,0.995558,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
913,4595.818291,1.077709,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
914,4597.228194,1.389813,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
915,4598.238642,1.305632,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
916,4599.314365,1.467954,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
917,4600.713001,1.245929,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
918,4602.031813,1.244873,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
919,4603.519243,1.088298,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
920,4604.767837,1.325898,tz1abTpHKkdo5YTM1DosZZVx9p8cjv4hMMTB,tz1T1fRJmpPp1pN2z45sivxdbKNQtyatzCVx
